"REF_DATE","GEO","DGUID","Country of residence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Newfoundland and Labrador","2016A000210","Dominican Republic","Persons","249","units","0","v126713","2.193","3","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Guatemala","Persons","249","units","0","v126730","2.178","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Guatemala","Persons","249","units","0","v126730","2.178","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Guatemala","Persons","249","units","0","v126730","2.178","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Guatemala","Persons","249","units","0","v126730","2.178","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Guatemala","Persons","249","units","0","v126730","2.178","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Greenland","Persons","249","units","0","v126729","2.177","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Greenland","Persons","249","units","0","v126729","2.177","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Greenland","Persons","249","units","0","v126729","2.177","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Greenland","Persons","249","units","0","v126729","2.177","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Greenland","Persons","249","units","0","v126729","2.177","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Grenada","Persons","249","units","0","v126715","2.195","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Grenada","Persons","249","units","0","v126715","2.195","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Grenada","Persons","249","units","0","v126715","2.195","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Grenada","Persons","249","units","0","v126715","2.195","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Grenada","Persons","249","units","0","v126715","2.195","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Guadeloupe","Persons","249","units","0","v126716","2.196","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Guadeloupe","Persons","249","units","0","v126716","2.196","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Guadeloupe","Persons","249","units","0","v126716","2.196","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Guadeloupe","Persons","249","units","0","v126716","2.196","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Guadeloupe","Persons","249","units","0","v126716","2.196","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Haiti","Persons","249","units","0","v126717","2.197","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Haiti","Persons","249","units","0","v126717","2.197","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Haiti","Persons","249","units","0","v126717","2.197","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Haiti","Persons","249","units","0","v126717","2.197","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Haiti","Persons","249","units","0","v126717","2.197","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Honduras","Persons","249","units","0","v126731","2.179","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Honduras","Persons","249","units","0","v126731","2.179","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Honduras","Persons","249","units","0","v126731","2.179","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Honduras","Persons","249","units","0","v126731","2.179","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Honduras","Persons","249","units","0","v126731","2.179","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Jamaica","Persons","249","units","0","v126696","2.169","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Jamaica","Persons","249","units","0","v126696","2.169","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Jamaica","Persons","249","units","0","v126696","2.169","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Jamaica","Persons","249","units","0","v126696","2.169","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Jamaica","Persons","249","units","0","v126696","2.169","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Mexico","Persons","249","units","0","v126697","2.170","34","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Mexico","Persons","249","units","0","v126697","2.170","10","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Mexico","Persons","249","units","0","v126697","2.170","21","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Mexico","Persons","249","units","0","v126697","2.170","22","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Mexico","Persons","249","units","0","v126697","2.170","9","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Nicaragua","Persons","249","units","0","v126732","2.180","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Nicaragua","Persons","249","units","0","v126732","2.180","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Nicaragua","Persons","249","units","0","v126732","2.180","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Nicaragua","Persons","249","units","0","v126732","2.180","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Nicaragua","Persons","249","units","0","v126732","2.180","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Panama","Persons","249","units","0","v126733","2.181","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Panama","Persons","249","units","0","v126733","2.181","2","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Panama","Persons","249","units","0","v126733","2.181","2","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Panama","Persons","249","units","0","v126733","2.181","2","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Panama","Persons","249","units","0","v126733","2.181","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Martinique","Persons","249","units","0","v126718","2.198","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Martinique","Persons","249","units","0","v126718","2.198","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Martinique","Persons","249","units","0","v126718","2.198","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Martinique","Persons","249","units","0","v126718","2.198","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Martinique","Persons","249","units","0","v126718","2.198","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Montserrat","Persons","249","units","0","v126719","2.199","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Montserrat","Persons","249","units","0","v126719","2.199","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Montserrat","Persons","249","units","0","v126719","2.199","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Montserrat","Persons","249","units","0","v126719","2.199","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Montserrat","Persons","249","units","0","v126719","2.199","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Puerto Rico","Persons","249","units","0","v126720","2.200","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Puerto Rico","Persons","249","units","0","v126720","2.200","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Puerto Rico","Persons","249","units","0","v126720","2.200","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Puerto Rico","Persons","249","units","0","v126720","2.200","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Puerto Rico","Persons","249","units","0","v126720","2.200","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Saint Barthélemy","Persons","249","units","0","v122610403","2.257","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Saint Barthélemy","Persons","249","units","0","v122610403","2.257","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Saint Barthélemy","Persons","249","units","0","v122610403","2.257","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Saint Barthélemy","Persons","249","units","0","v122610403","2.257","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Saint Barthélemy","Persons","249","units","0","v122610403","2.257","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Saint Kitts and Nevis","Persons","249","units","0","v126721","2.201","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Saint Kitts and Nevis","Persons","249","units","0","v126721","2.201","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Saint Kitts and Nevis","Persons","249","units","0","v126721","2.201","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Saint Kitts and Nevis","Persons","249","units","0","v126721","2.201","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Saint Kitts and Nevis","Persons","249","units","0","v126721","2.201","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Saint Lucia","Persons","249","units","0","v126723","2.202","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Saint Lucia","Persons","249","units","0","v126723","2.202","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Saint Lucia","Persons","249","units","0","v126723","2.202","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Saint Lucia","Persons","249","units","0","v126723","2.202","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Saint Lucia","Persons","249","units","0","v126723","2.202","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Saint Martin (French part)","Persons","249","units","0","v122610404","2.258","0","","","","0"
